OACI,CIAD,Nome,Município,Longitude,Latitude,Operação,Altitude,Rampa de Aproximação,Formato da Área de Pouso,Dimensões,Resistência,Superfície,Validade do Registro,Portaria de Registro,Link
SDSN,SP0417,São Luiz,SÃO PAULO,"046°41'12,0""O","23°35'26,0""S",VFR Diurna/Noturna,,19,Quadrado,21m x 21m,Aguardando dados,Aguardando dados,Aguardando dados,Aguardando dados,
SSKL,SP0756,JK 1455,SÃO PAULO,"046°40'57""O","23°35'27,0""S",VFR Diurna/Noturna,,2,Quadrado,24m x 24m,Aguardando dados,Aguardando dados,Aguardando dados,Aguardando dados,
SDWT,SP0442,World Trade Center,SÃO PAULO,"046°41'46,4""O","23°36'33,0""S",VFR Diurna/Noturna,,5 27,Quadrado,21m x 21m,Aguardando dados,Aguardando dados,Aguardando dados,Aguardando dados,
SDDG,SP0308,Hospital Samaritano,SÃO PAULO,"046°39'44,6""O","23°32'19,0""S",VFR Diurna/Noturna,,15,Quadrado,21m x 21m,Aguardando dados,Aguardando dados,Aguardando dados,Aguardando dados,
SDUT,SP0432,Hotel Transamérica,SÃO PAULO,"046°43'22,0""O","23°39'02,9""S",VFR Diurna/Noturna,,25,Quadrado,21m x 21m,Aguardando dados,Aguardando dados,Aguardando dados,Aguardando dados,
SSBH,SP0744,Edifício Berrini 500,SÃO PAULO,"046°41'32,0""O","23°36'04,0""S",VFR Diurna/Noturna,,16 31,Quadrado,21m x 21m,Aguardando dados,Aguardando dados,Aguardando dados,Aguardando dados,
SSCS,SP0745,Continental Square,SÃO PAULO,"046°41'02,4""O","23°35'44,8""S",VFR Diurna/Noturna,,32,Quadrado,21m x 21m,Aguardando dados,Aguardando dados,Aguardando dados,Aguardando dados,
SSOA,SP0764,Blue Tree Tower Faria Lima,SÃO PAULO,"046°40'51,0""O","23°35'28,0""S",VFR Diurna/Noturna,,4 22,Quadrado,18m x 18m,Aguardando dados,Aguardando dados,Aguardando dados,Aguardando dados,
SSPQ,SP0768,Hospital da Polícia Militar,SÃO PAULO,"046°37'10,0""O","23°28'13,0""S",VFR Diurna/Noturna,,11,Quadrado,24m x 24m,Aguardando dados,Aguardando dados,Aguardando dados,Aguardando dados,
SSQE,SP0770,TV Mundial I,SÃO PAULO,"046°42'30,0""O","23°34'05,0""S",VFR Diurna/Noturna,,7,Quadrado,18m x 18m,Aguardando dados,Aguardando dados,Aguardando dados,Aguardando dados,
SSQV,SP0771,UNICID - Universidade Cidade de São Paulo,SÃO PAULO,"046°33'34,0""O","23°32'10,0""S",VFR Diurna/Noturna,,10 28,Quadrado,19m x 19m,Aguardando dados,Aguardando dados,Aguardando dados,Aguardando dados,
SSQY,SP0774,Centro Empresarial de São Paulo,SÃO PAULO,"046°43'40,0""O","23°39'04,0""S",VFR Diurna/Noturna,,3 20,Quadrado,21m x 21m,Aguardando dados,Aguardando dados,Aguardando dados,Aguardando dados,
SSVH,SP0786,Henri Dunant,SÃO PAULO,"046°41'55,0""O","23°37'38,0""S",VFR Diurna/Noturna,,33,Quadrado,24m x 24m,Aguardando dados,Aguardando dados,Aguardando dados,Aguardando dados,
SSWD,SP0788,Plaza II,SÃO PAULO,"046°41'46,0""O","23°36'40,0""S",VFR Diurna/Noturna,,4,Quadrado,20.5m x 20.5m,Aguardando dados,Aguardando dados,Aguardando dados,Aguardando dados,
SSYH,SP0791,Hospital Autódromo José Carlos Pace,SÃO PAULO,"046°41'43,0""O","23°42'00,0""S",VFR Diurna/Noturna,,20,Quadrado,19.5m x 19.5m,Aguardando dados,Aguardando dados,Aguardando dados,Aguardando dados,
SSZE,SP0792,Banco Sofisa,SÃO PAULO,"046°39'21,0""O","23°33'46,0""S",VFR Diurna/Noturna,,4 13,Quadrado,18m x 18m,Aguardando dados,Aguardando dados,Aguardando dados,Aguardando dados,
SWHH,SP0808,Banco Santander,SÃO PAULO,"046°41'27,0""O","23°35'27,0""S",VFR Diurna/Noturna,,5 20,Quadrado,21m x 21m,Aguardando dados,Aguardando dados,Aguardando dados,Aguardando dados,
SWHX,SP0812,Conjunto Hospitalar do Mandaqui,SÃO PAULO,"046°37'50,0""O","23°29'06,0""S",VFR Diurna/Noturna,,16 34,Quadrado,21m x 21m,Aguardando dados,Aguardando dados,Aguardando dados,Aguardando dados,
SWNI,SP0819,Hospital e Maternidade Santa Marina,SÃO PAULO,"046°39'10,0""O","23°39'25,0""S",VFR Diurna/Noturna,,34,Quadrado,20m x 20m,Aguardando dados,Aguardando dados,Aguardando dados,Aguardando dados,
SWOU,SP0822,Rede Globo 2,SÃO PAULO,"046°41'54,0""O","23°36'54,0""S",VFR Diurna/Noturna,,12,Quadrado,22m x 22m,Aguardando dados,Aguardando dados,Aguardando dados,Aguardando dados,
SJBP,SP0600,Atrium VI.com,SÃO PAULO,"046°41'15,2""O","23°35'43,9""S",VFR Diurna/Noturna,,12,Quadrado,21m x 21m,Aguardando dados,Aguardando dados,Aguardando dados,Aguardando dados,
SWRV,SP0828,Rochaverá - Alfa,SÃO PAULO,"046°42'01,8""O","23°37'21,5""S",VFR Diurna/Noturna,,14,Quadrado,21m x 21m,Aguardando dados,Aguardando dados,Aguardando dados,Aguardando dados,
SWSK,SP0829,Akron,SÃO PAULO,"046°36'21,0""O","23°36'33,0""S",VFR Diurna,,7,Quadrado,19.6m x 19.6m,Aguardando dados,Aguardando dados,Aguardando dados,Aguardando dados,
SWTF,SP0832,Friboi,SÃO PAULO,"046°43'52,0""O","23°30'49,0""S",VFR Diurna/Noturna,,9,Quadrado,24m x 24m,Aguardando dados,Aguardando dados,Aguardando dados,Aguardando dados,
SNSQ,SP0730,Centro Empresarial Nações Unidas-Torre Norte,SÃO PAULO,"046°41'47,0""O","23°36'37,0""S",VFR Diurna/Noturna,,12,Quadrado,19.5m x 19.5m,Aguardando dados,Aguardando dados,Aguardando dados,Aguardando dados,
SNSZ,SP1222,Miss Silvia Morizono,SÃO PAULO,"046°40'52,0""O","23°35'32,0""S",VFR Diurna/Noturna,,30,Quadrado,22.5m x 22.5m,Aguardando dados,Aguardando dados,Aguardando dados,Aguardando dados,
SDSZ,SP0421,Banco Safra,SÃO PAULO,"046°39'35,0""O","23°33'29,0""S",VFR Diurna/Noturna,,20,Quadrado,24m x 24m,Aguardando dados,Aguardando dados,Aguardando dados,Aguardando dados,
SIGZ,SP0498,Represa,SÃO PAULO,"046°41'56,2""O","23°37'01,6""S",VFR Diurna/Noturna,,12 30,Quadrado,18m x 18m,Aguardando dados,Aguardando dados,Aguardando dados,Aguardando dados,
SDTJ,SP0424,Edifício Atrium  V,SÃO PAULO,"046°41'04,0""O","23°35'45,0""S",VFR Diurna/Noturna,,27 36,Quadrado,21m x 21m,Aguardando dados,Aguardando dados,Aguardando dados,Aguardando dados,
SIHK,SP0500,Hospital Santa Catarina,SÃO PAULO,"046°38'44,0""O","23°34'08,0""S",VFR Diurna/Noturna,,32,Quadrado,19.5m x 19.5m,Aguardando dados,Aguardando dados,Aguardando dados,Aguardando dados,
SWYD,SP0841,Spazio Faria Lima,SÃO PAULO,"046°40'56,0""O","23°35'07,0""S",VFR Diurna/Noturna,,12 36,Quadrado,24m x 24m,Aguardando dados,Aguardando dados,Aguardando dados,Aguardando dados,
SWNX,SP0871,Tek Nações Unidas,SÃO PAULO,"046°42'07,3""O","23°37'00,7""S",VFR Diurna/Noturna,,3 21,Quadrado,19.5m x 19.5m,Aguardando dados,Aguardando dados,Aguardando dados,Aguardando dados,
SWMF,SP0816,Higienópolis Medical Center,SÃO PAULO,"046°39'31,0""O","23°33'00,0""S",VFR Diurna/Noturna,,30,Quadrado,19.5m x 19.5m,Aguardando dados,Aguardando dados,Aguardando dados,Aguardando dados,
SJSL,SP0658,Hospital Sírio Libanês II,SÃO PAULO,"046°39'11,0""O","23°33'26,0""S",VFR Diurna/Noturna,,27,Quadrado,24m x 24m,Aguardando dados,Aguardando dados,Aguardando dados,Aguardando dados,
